Fecha,Medias,Desviaciones
2019/01/03,12.618582725524902,0.32396629452705383
2019/01/09,12.070796966552734,0.30047035217285156
2019/01/17,11.405226707458496,0.5686461329460144
2019/01/25,11.183406829833984,0.32091790437698364
2019/2/6,11.115697181319558,0.3211802255842497
2019/2/12,12.43949729693144,0.25631891060647666
2019/2/20,13.348593228212861,0.18694842496534236
2019/2/26,14.147721305850391,0.1804863329437947
2019/3/5,15.75199049930162,0.2752815990570466
2019/3/12,16.621760170239394,0.13622365893096364
2019/3/28,15.689243211822898,0.2337180672082237
2019/4/15,17.854031805699417,0.27641635056753555
2019/4/24,16.54033083864539,0.15346743270048296
2019/4/30,19.303779913661373,0.4063677383277592
2019/5/8,21.16334134833728,0.4256401541745985
2019/5/15,23.112580456025654,0.28773452019012286
2019/5/21,22.81975255535568,0.1673732299565398
2019/5/29,23.31081743169044,0.3811853020317295
2019/6/4,24.3448090649958,0.3022815941119438
2019/6/18,24.238223196605173,0.23413502008132178
2019/6/25,26.48823164001841,0.40130863556925284
2019/7/4,28.18423908516624,0.2944592389183466
2019/7/10,27.89992869006969,0.25435442713154893
2019/7/19,29.012377038929074,0.3749166729069587
2019/7/26,28.464297682820806,0.178968551404665
2019/7/30,28.5889539858567,0.21794713473250504
2019/8/6,28.955473715593172,0.3229455265827012
2019/8/14,28.864606252399003,0.2971474882017061
2019/8/22,28.86530848834252,0.3479807095200083
2019/8/29,27.690094412063136,0.5076862182414762
2019/9/4,28.328289209904952,0.2632007694624388
2019/9/10,26.74172405147499,0.3549978570721316
2019/9/17,24.28398153053999,0.7189719578056329
2019/9/18,24.024331969363274,0.3915743843867885
2019/9/19,24.512965687329327,0.696656608968591
2019/9/26,25.10786784667186,0.3852583671356026
2019/9/27,25.884669293152452,0.6499902206258272
2019/9/28,25.560729264526746,0.4135755952889031
2019/10/3,25.040326873439028,0.19002143330516003
2019/10/14,24.550634077855804,0.21571693638596234
2019/10/15,23.57578350687406,0.6360582330690658
2019/10/16,22.88340244655145,0.5752640290677072
2019/10/25,19.730241290828207,0.2575997757562991
2019/10/30,20.17119715918096,0.4667534855128405
2019/11/4,20.240375632048025,0.27418151660371143
2019/11/7,18.787985441853454,0.23941059143833393
2019/11/14,15.438460833490302,0.2446267105114313
2019/11/20,13.736553939387942,0.40817666549368453
2019/11/21,13.5758102724515,0.21803041776134488
2019/11/26,13.882820971304078,0.34876313941376336
2019/11/27,13.68592358950597,0.6395786243910274
2019/12/2,14.426576695799657,0.26629914982277464
2019/12/5,13.423579014538898,0.26763007070051487
2019/12/7,13.832422408537843,0.18554985078677133
2019/12/11,13.589046920496846,0.2770083070304101
2019/12/16,13.349085569381714,0.2586009548331085
2019/12/26,13.821841293510348,0.3748639325775214

